,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1970,757.95,1097.19,885.93,250.84,975.13,635.03,519.78,998.26,862.32,833.08,979.99,984.13,1602.91,799.82,961.02,949.66,959.15,609.51,1084.19,1015.76,1017.34,899.68,986.41,862.19,772.89,1063.28,912.17,639.07,579.71,312.50,952.94,944.57,293.25,1098.17,1102.96,573.75,1026.73,716.27,967.04,1099.57,1053.18,1011.51,567.75,1103.92,549.39,374.00,993.72,883.77,1184.29,1162.90,874.13,542.65
1971,761.73,1133.73,858.01,271.10,838.31,453.79,511.51,1003.67,1222.45,1215.60,1045.08,1121.49,1700.66,730.80,681.06,769.38,747.93,690.88,1011.41,1059.75,890.15,1224.50,967.11,768.94,798.04,1095.40,778.85,619.59,651.90,347.20,988.17,1166.97,349.87,1098.87,1354.74,600.16,852.21,767.14,1006.54,1086.10,897.12,1282.13,629.53,1148.15,626.65,404.56,1102.32,1174.54,1328.40,1215.82,878.40,564.22
1972,793.17,1087.97,784.60,311.13,926.61,427.16,560.17,1521.55,1359.88,1279.31,1022.48,1077.70,1585.31,741.45,971.28,1063.68,1014.84,743.98,1294.36,958.71,1204.71,1345.99,1444.00,942.78,817.05,947.95,921.40,614.08,721.74,276.44,1358.33,1459.74,439.52,1441.83,1250.41,597.19,1148.90,692.92,933.95,1491.45,1489.26,1074.17,633.25,1325.72,636.90,383.25,1341.35,1309.08,1352.48,1531.82,957.39,566.97
1973,897.29,1441.86,830.82,291.94,1586.04,714.96,611.28,1281.52,1208.23,1102.89,1142.58,1223.20,1472.58,686.46,1200.59,1242.29,1203.36,1060.63,1348.47,1536.97,1330.54,1199.62,1187.48,973.98,777.37,1550.12,1341.26,529.42,893.54,334.16,1290.70,1302.09,374.41,1311.80,1238.90,546.97,1245.54,1273.41,974.43,1322.62,1170.27,1293.64,592.42,1481.31,893.52,428.40,1350.63,1132.32,1154.55,1360.35,1034.18,618.64
1974,782.77,1247.61,784.69,280.42,1227.36,561.64,485.12,1083.78,1035.86,1047.18,951.95,1091.36,1612.84,663.90,1134.54,1174.84,790.71,710.83,1342.31,1251.71,1174.78,1085.73,1064.32,917.24,665.05,1268.10,1079.74,575.95,485.42,252.21,1163.10,1027.60,410.48,1226.34,1270.89,514.86,1156.61,947.72,871.30,1217.49,1042.30,1148.39,415.96,1421.52,728.30,328.78,1218.24,1113.37,1279.82,1462.56,800.63,444.16
1975,827.01,1486.48,819.86,289.57,1141.97,565.05,524.38,1387.62,1339.91,1259.91,1032.27,1236.14,1487.66,820.38,981.42,1072.88,797.58,682.95,1366.73,1373.01,1119.91,1307.83,1351.55,936.57,786.94,1456.65,957.25,730.50,618.79,349.51,1302.22,1347.50,382.90,1283.46,1217.85,688.35,1169.69,855.70,973.97,1341.70,1326.64,1195.47,639.02,1426.14,636.98,423.35,1260.23,1250.35,1332.65,1406.61,824.08,566.81
1976,718.56,1139.22,873.09,309.17,944.90,349.31,501.59,1099.91,900.15,1004.11,1100.85,1189.62,1536.72,599.16,714.56,820.41,609.81,629.14,997.87,1046.07,1343.46,981.99,1095.75,795.72,446.88,1096.08,757.97,521.74,507.66,301.12,1308.22,958.54,368.63,1419.11,1140.05,408.06,934.28,665.91,662.29,1171.94,1009.51,1234.46,430.07,1133.32,722.84,311.19,1448.87,1008.35,887.35,1194.28,616.54,503.55
1977,819.00,1270.10,880.93,270.63,1103.69,464.21,546.25,1399.97,1028.51,963.67,1010.74,1058.54,1525.95,707.84,1061.57,1137.46,1018.86,853.30,1236.57,1227.86,1278.50,1029.67,1325.88,940.78,967.93,1253.98,1129.19,622.76,859.52,301.03,1356.11,1255.33,381.87,1431.34,1135.39,666.65,1179.76,807.10,853.05,1238.08,1295.87,1031.02,864.50,1336.05,581.69,351.47,1372.95,1017.29,1104.64,1245.17,969.86,542.24
1978,743.39,952.90,792.76,454.64,892.99,693.08,523.39,1105.66,1243.81,997.66,1068.73,961.71,1377.47,629.47,848.10,901.50,903.69,668.05,1101.29,1037.81,852.09,1137.23,1001.10,800.47,806.09,931.58,896.58,664.21,635.31,389.42,877.61,1218.47,459.57,996.32,1104.05,538.56,991.81,655.15,749.79,1132.63,1104.85,1052.50,584.67,983.06,575.12,429.51,930.80,1036.34,867.71,1182.27,943.08,564.18
1979,853.83,1450.31,908.78,340.73,1376.10,590.76,607.49,1433.01,1311.22,1294.79,1213.30,1221.37,1781.49,568.31,960.48,1222.77,921.69,817.51,1571.39,1420.24,1280.87,1319.01,1333.53,930.86,818.21,1556.07,964.10,430.38,748.71,283.94,1280.17,1371.15,431.12,1222.17,1323.75,502.99,1299.36,945.47,833.26,1304.37,1343.82,1260.35,571.40,1577.93,844.84,334.36,1210.54,1350.79,999.74,1534.55,934.07,449.53
