,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1970,14.51,23.12,-1.08,22.53,21.64,21.17,13.90,14.10,17.28,18.36,26.05,23.57,22.67,12.22,16.35,16.24,14.37,19.71,18.85,24.46,9.67,17.02,13.10,11.56,10.05,23.49,18.49,11.38,16.70,17.44,11.06,16.19,19.45,11.86,20.53,9.93,15.82,21.96,14.91,14.18,13.94,23.05,13.73,20.05,24.86,15.72,10.31,18.65,13.29,16.45,11.68,11.53
1971,14.22,23.44,-2.60,22.01,22.21,20.17,13.72,14.35,17.57,18.46,26.66,23.82,22.51,11.80,17.34,16.94,14.63,19.14,19.23,24.84,9.75,17.17,13.24,11.85,10.25,23.84,19.16,11.44,16.00,16.46,11.09,16.42,19.19,12.03,20.56,10.44,16.18,21.84,13.98,14.48,14.33,22.88,13.74,20.30,25.41,15.00,10.43,18.51,12.75,16.51,11.59,11.26
1972,14.14,23.63,-1.85,22.84,21.93,20.69,13.91,13.60,17.01,17.79,26.92,23.60,22.64,11.91,15.82,15.65,13.15,18.69,18.56,24.90,8.68,16.65,12.58,10.39,9.01,24.06,18.06,10.96,15.61,17.11,10.13,15.80,19.54,11.24,20.27,9.55,15.05,21.70,14.58,13.72,13.65,22.80,13.00,19.78,25.06,16.07,9.43,18.01,12.92,15.81,10.30,11.36
1973,14.53,23.46,-1.39,22.18,21.64,20.73,13.28,15.14,18.08,19.01,26.39,23.60,22.60,12.78,17.01,17.07,14.86,18.50,19.27,24.45,10.33,17.73,14.16,12.36,11.38,23.89,18.37,12.50,16.01,16.87,11.89,16.99,18.81,13.02,20.71,11.75,16.57,21.08,15.04,14.99,15.04,22.74,14.83,20.17,24.34,14.98,11.38,18.95,13.52,16.76,12.33,11.09
1974,14.75,23.60,-1.71,22.90,21.74,21.10,14.12,14.43,17.95,19.04,26.91,24.12,22.97,13.12,16.53,16.36,14.82,19.49,19.05,24.65,9.46,17.63,13.44,11.41,10.48,23.79,18.51,12.78,17.24,17.96,11.10,16.80,19.57,11.97,20.92,11.15,15.85,22.00,15.36,14.50,14.45,23.37,15.58,20.15,25.11,16.23,10.29,18.96,13.72,16.51,11.50,12.44
1975,14.17,23.13,-2.25,22.11,21.58,20.33,13.70,14.89,17.91,18.69,26.89,23.75,22.19,11.53,16.73,16.69,14.67,19.10,19.23,24.31,10.27,17.51,13.84,12.01,10.35,23.31,18.49,10.49,16.07,16.53,11.70,16.74,18.96,12.63,21.21,10.37,16.02,21.30,13.77,14.71,14.81,23.27,13.90,20.19,24.88,15.07,11.19,18.92,12.54,16.71,11.86,11.12
1976,14.78,22.42,-0.83,22.80,21.43,21.22,14.34,14.31,17.36,18.66,25.77,22.94,22.27,12.83,16.75,16.45,15.71,20.03,18.61,23.91,9.53,17.15,13.37,11.57,11.60,22.77,18.68,13.11,17.22,17.94,10.99,16.23,19.20,11.72,20.49,12.33,15.54,21.99,14.89,14.14,14.47,22.43,15.81,19.50,24.17,16.46,10.20,18.71,13.33,16.12,12.07,12.37
1977,15.11,23.37,-0.16,23.27,22.13,21.29,15.12,14.42,17.70,18.99,25.97,23.61,22.90,12.69,16.66,16.58,15.29,20.21,19.08,24.51,9.69,17.44,13.50,11.82,10.95,23.68,18.56,12.09,17.21,18.34,11.49,16.37,20.07,12.18,20.84,11.41,15.86,22.62,14.90,14.45,14.43,23.03,14.60,20.28,25.52,16.87,10.85,18.85,13.40,16.49,12.01,12.92
1978,14.40,23.13,1.17,22.55,20.85,20.82,13.59,13.49,16.71,18.29,26.05,23.38,22.88,11.96,15.41,15.39,13.28,18.24,17.92,23.83,9.39,16.57,12.63,11.01,9.88,23.01,17.25,10.12,14.93,17.17,10.73,15.37,19.35,11.46,20.16,9.65,14.80,21.17,14.59,13.53,13.51,22.46,12.59,19.41,24.31,15.52,10.07,18.18,12.97,15.56,11.15,11.03
1979,14.22,22.12,0.22,22.61,20.56,20.96,13.20,14.30,17.12,17.69,25.87,22.66,22.61,12.57,15.54,15.30,13.12,18.12,17.72,23.42,10.13,16.61,13.44,10.66,8.86,22.35,17.31,11.56,15.29,17.39,11.34,16.02,18.96,11.99,19.74,9.14,14.76,20.65,14.87,13.82,14.39,21.90,13.10,18.97,23.98,15.26,10.70,17.72,13.75,15.41,10.43,11.38
1980,14.98,23.47,-0.63,23.37,22.54,21.16,14.45,14.35,17.26,18.61,26.22,23.67,23.06,12.45,16.51,16.04,14.99,20.02,18.89,24.66,9.40,17.15,13.31,11.12,11.07,23.66,19.18,12.64,17.34,17.78,11.20,16.25,20.19,11.87,20.43,11.78,15.21,22.90,14.90,14.23,14.24,22.67,15.52,20.17,25.63,15.92,10.45,18.66,13.12,16.07,11.76,12.41
1981,15.45,23.27,0.85,23.84,21.83,21.80,15.20,14.54,16.88,18.20,26.19,23.40,23.08,13.51,16.68,16.14,15.56,20.09,18.41,24.43,10.33,16.65,13.62,11.81,11.68,23.63,18.63,13.77,17.79,18.82,11.77,16.13,20.22,12.27,20.25,12.75,15.39,22.35,15.43,14.13,14.29,22.51,16.13,19.69,24.89,16.90,11.14,18.23,13.84,15.72,12.37,13.56
