,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1970,3.74,12.57,-8.01,8.65,11.14,8.64,-0.20,5.96,9.86,9.37,16.72,12.50,17.65,0.41,6.73,6.79,4.06,6.92,8.94,14.78,0.86,8.89,4.97,2.92,-0.09,12.85,8.11,-0.46,3.53,3.49,1.75,8.10,5.37,3.26,10.52,-0.94,6.51,10.01,3.08,5.14,6.32,12.53,1.48,9.95,12.73,2.30,0.95,8.55,3.41,6.71,2.14,-0.87
1971,3.50,12.93,-9.63,8.09,11.33,7.69,-0.27,6.27,10.35,9.78,17.26,12.91,17.44,0.14,7.10,7.01,4.21,6.99,9.27,15.16,0.75,9.21,5.13,2.97,0.20,13.21,8.36,-0.47,3.79,2.75,1.66,8.51,5.21,3.41,10.89,-0.51,6.50,10.22,2.75,5.29,6.69,12.88,1.74,10.17,13.37,1.73,0.88,8.76,3.26,6.74,2.02,-1.02
1972,3.54,13.13,-8.81,8.96,11.13,8.33,0.19,5.80,9.77,9.29,17.81,13.00,17.75,0.29,6.22,6.28,3.29,6.65,8.93,15.18,-0.13,8.79,4.62,1.86,-0.77,13.37,7.81,-0.78,3.33,3.39,1.03,7.94,5.73,2.66,10.53,-1.16,5.95,9.94,2.94,4.83,6.29,12.64,1.34,9.93,13.00,2.80,0.25,8.49,3.23,6.43,1.01,-0.93
1973,4.17,13.33,-8.30,8.22,11.76,8.68,0.03,7.24,10.77,10.12,17.43,12.96,17.68,0.94,8.03,8.11,5.50,7.28,9.89,15.28,2.14,9.74,6.24,4.40,1.83,13.86,8.82,0.57,4.34,3.42,3.05,8.94,4.68,4.55,10.91,0.75,7.68,10.29,3.59,6.08,7.70,12.73,3.11,10.67,12.71,2.18,2.36,9.13,3.90,7.38,3.70,-0.74
1974,3.93,13.18,-8.97,8.90,11.46,8.63,0.07,6.31,10.33,9.80,17.65,13.02,18.06,0.76,6.98,6.95,4.42,7.11,9.44,15.40,0.80,9.33,5.18,2.87,0.34,13.62,8.10,0.84,4.09,3.73,1.69,8.42,5.49,3.35,11.06,-0.34,6.58,10.35,3.45,5.34,6.74,13.01,2.64,10.42,13.22,2.78,0.88,8.88,4.07,6.90,2.21,-0.34
1975,3.61,13.25,-9.28,7.85,11.19,7.95,-0.41,6.92,10.63,10.01,17.79,13.13,17.47,0.27,7.34,7.61,4.56,6.85,9.65,15.04,1.41,9.62,5.81,3.52,0.63,13.42,8.25,-0.50,3.64,2.63,2.52,8.86,4.50,4.15,11.42,0.02,7.06,9.79,2.76,5.88,7.34,13.26,2.25,10.54,12.69,1.76,1.81,9.16,3.46,7.21,2.49,-1.00
1976,3.50,11.47,-8.02,8.59,10.23,8.35,-0.07,5.69,9.44,8.84,16.51,11.67,17.65,0.36,5.69,5.76,3.80,6.52,7.87,13.72,0.43,8.39,4.67,2.18,0.11,11.76,7.22,0.85,3.77,3.10,1.24,7.55,4.72,2.69,9.94,0.08,5.29,9.32,2.52,4.47,6.28,11.75,2.61,8.85,12.04,2.52,0.37,7.99,3.76,5.67,1.30,-0.24
1977,4.35,12.84,-6.99,9.33,11.61,8.73,0.59,6.14,9.93,9.64,16.84,12.71,18.02,0.45,7.04,6.88,4.92,7.88,9.02,14.98,1.39,9.05,5.28,3.26,1.15,13.22,8.55,0.14,4.77,4.16,2.36,7.92,5.89,3.70,10.72,0.43,6.30,10.95,3.17,5.23,6.72,12.61,2.83,10.10,13.36,3.15,1.76,8.76,3.88,6.66,2.56,-0.03
1978,3.96,12.30,-5.80,9.56,10.50,8.88,0.18,5.20,9.19,9.16,17.21,12.47,18.19,0.48,5.85,5.87,3.31,6.32,8.06,14.26,0.44,8.43,4.23,2.12,-0.22,12.28,7.24,-0.97,2.69,3.93,1.04,7.04,5.96,2.55,10.22,-1.05,5.47,9.78,3.07,4.49,5.70,12.16,1.04,9.31,12.76,3.29,0.26,8.27,3.76,6.12,1.41,-1.14
1979,3.74,12.15,-6.66,9.08,10.24,8.66,-0.32,6.39,9.88,9.16,17.10,12.24,18.17,0.26,5.72,5.72,3.16,6.02,8.03,14.11,2.03,8.72,5.53,2.48,-0.52,12.23,6.88,-0.52,3.15,3.96,2.54,8.00,5.41,3.51,10.19,-1.68,5.61,9.34,3.28,4.84,6.95,11.94,1.25,9.25,12.21,2.73,1.83,8.23,3.69,5.96,1.47,-0.98
